	CDS	GeneName	Start	End	Repl	NumRec	NumAffectedTaxa
L0528	BB_0597	ND	618828	621035	chr	5	38
L0529	BB_0598	murB	621045	621953	chr	6	39
L0530	BB_0599	cysS	622005	623447	chr	3	33
L0531	BB_0600	ND	623451	625007	chr	2	27
L0532	BB_0601	glyA	625007	626260	chr	2	27
L0533	BB_0602	ND	626286	627038	chr	2	27
L0534	BB_0603	p66	627092	628948	chr	1	4
L0535	BB_0604	ND	629196	630698	chr	1	4
L0536	BB_0605	ND	630796	631986	chr	0	0
L0537	BB_0606	ND	631991	632482	chr	0	0
L0538	BB_0607	pcrA	632485	634464	chr	2	27
L0539	BB_0608	ND	634581	636011	chr	2	27
L0540	BB_0610	tig	636593	637957	chr	2	27
L0541	BB_0611	clpP	637972	638556	chr	2	27
L0542	BB_0612	clpX	638580	639872	chr	2	27
L0543	BB_0613	lon	639859	642249	chr	1	25
L0544	BB_0614	ND	642289	642441	chr	0	0
L0545	BB_0615	rpsD	642500	643126	chr	0	0
L0546	BB_0616	ND	643295	644650	chr	0	0
L0547	BB_0617	ND	644772	645140	chr	0	0
L0548	BB_0618	cdd	645137	645601	chr	0	0
L0549	BB_0619	ND	645719	646681	chr	0	0
L0550	BB_0620	ND	646659	648254	chr	0	0
L0551	BB_0621	ND	648553	649107	chr	0	0
L0552	BB_0622	ackA	649170	650387	chr	0	0
L0553	BB_0623	mfd	650413	653790	chr	2	4
L0554	BB_0624	ND	653887	654849	chr	2	4
L0555	BB_0625	ND	654863	656902	chr	2	4
L0556	BB_0626	rnmV	656998	657543	chr	3	6
L0557	BB_0628	ND	658898	659623	chr	1	2
L0558	BB_0629	ND	659644	661515	chr	1	2
L0559	BB_0630	pfkB	661606	662529	chr	1	2
L0560	BB_0631	ND	662603	662917	chr	1	2
L0561	BB_0632	recD	663179	665011	chr	1	2
L0562	BB_0633	recB	665008	668517	chr	2	5
L0563	BB_0635	pncB	671767	673167	chr	3	9
L0564	BB_0636	zwf	673342	674778	chr	3	11
L0565	BB_0637	ND	675035	676378	chr	2	6
L0566	BB_0638	ND	676472	677860	chr	1	3
L0567	BB_0639	ND	677892	678938	chr	1	17
L0568	BB_0640	ND	678959	679750	chr	1	17
L0569	BB_0641	ND	679754	680557	chr	0	0
L0570	BB_0642	potA	680563	681606	chr	0	0
L0571	BB_0643	ylqF	681685	682524	chr	0	0
L0572	BB_0644	ND	682679	683377	chr	0	0
L0573	BB_0645	ND	683423	684967	chr	0	0
L0574	BB_0646	ND	684997	685980	chr	0	0
L0575	BB_0647	bosR	685977	686507	chr	0	0
L0576	BB_0649	groL	688490	690127	chr	0	0
L0577	BB_0650	ND	690193	690489	chr	0	0
L0578	BB_0651	yajC	690482	690799	chr	0	0
L0579	BB_0652	secD	690885	692645	chr	0	0
L0580	BB_0653	secF	692629	693528	chr	0	0
L0581	BB_0654	ND	693554	694696	chr	1	25
L0582	BB_0655	ND	694693	695523	chr	1	25
L0583	BB_0656	ND	695631	696764	chr	2	25
L0584	BB_0657	rpiA	696751	697437	chr	2	25
L0585	BB_0658	ND	697586	698332	chr	2	25
L0586	BB_0659	lysS	698400	699965	chr	2	25
L0587	BB_0660	era	700052	700924	chr	2	28
L0588	BB_0661	ND	701029	701385	chr	2	28
L0589	BB_0662	ND	701395	701805	chr	2	28
L0590	BB_0663	ND	701825	702274	chr	2	28
L0591	BB_0664	ND	702283	702951	chr	2	28
L0592	BB_0665	ND	703009	703968	chr	2	28
L0593	BB_0666	ND	703961	704959	chr	2	28
L0594	BB_0667	ND	704949	705500	chr	2	28
L0595	BB_0668	ND	705580	706605	chr	1	3
L0596	BB_0669	ND	706673	709267	chr	0	0
L0597	BB_0670	ND	709274	710674	chr	0	0
L0598	BB_0671	ND	710686	711171	chr	0	0
L0599	BB_0672	ND	711211	711651	chr	0	0
L0600	BB_0673	ND	711692	712207	chr	0	0
L0601	BB_0674	ND	712204	713250	chr	0	0
L0602	BB_0675	ND	713244	714107	chr	0	0
L0603	BB_0676	ND	714104	714766	chr	0	0
L0604	BB_0677	rbsA	715009	716619	chr	0	0
L0605	BB_0678	ND	716620	717771	chr	0	0
L0606	BB_0679	ND	717743	718669	chr	0	0
L0607	BB_0680	ND	718827	721088	chr	1	4
L0608	BB_0681	ND	721119	723020	chr	1	4
L0609	BB_0682	trmU	723063	724130	chr	2	9
L0610	BB_0683	ND	724224	725447	chr	3	20
L0611	BB_0684	fni	725431	726495	chr	3	20
L0612	BB_0685	ND	726458	727753	chr	5	22
L0613	BB_0686	mvaD	727737	728675	chr	4	22
L0614	BB_0687	ND	728666	729619	chr	3	6
L0615	BB_0688	mvk	729613	730506	chr	3	7
L0616	BB_0689	ND	730632	731099	chr	3	7
L0617	BB_0690	napA	731184	731720	chr	3	7
L0618	BB_0691	fusA	731794	733803	chr	4	8
L0619	BB_0693	ND	734081	735289	chr	4	8
L0620	BB_0694	ffh	735352	736686	chr	7	34
L0621	BB_0695	rpsP	736699	736959	chr	6	33
L0622	BB_0696	ND	736960	737208	chr	6	33
L0623	BB_0697	rimM	737212	737712	chr	6	33
L0624	BB_0698	trmD	737709	738428	chr	7	43
L0625	BB_0699	rplS	738406	738771	chr	7	43
L0626	BB_0701	ND	739144	739683	chr	4	35
L0627	BB_0702	coaD	739685	740176	chr	3	23
L0628	BB_0703	rpmF	740240	740422	chr	2	5
L0629	BB_0704	acpP	740446	740688	chr	2	5
L0630	BB_0705	rnc	740688	741425	chr	2	5
L0631	BB_0706	ND	741396	742628	chr	2	5
L0632	BB_0707	ND	742744	744516	chr	2	5
L0633	BB_0708	ND	744522	744845	chr	2	5
L0634	BB_0709	ND	745302	746333	chr	1	1
L0635	BB_0712	ND	748123	750018	chr	0	0
L0636	BB_0713	ND	750031	750789	chr	0	0
L0637	BB_0714	ND	751191	752159	chr	0	0
L0638	BB_0715	ND	752170	753219	chr	0	0
L0639	BB_0716	mreC	753292	754068	chr	0	0
L0640	BB_0717	ND	754068	754550	chr	0	0
L0641	BB_0718	ND	754637	756349	chr	0	0
L0642	BB_0719	mrdB	756354	757670	chr	1	2
L0643	BB_0721	pgsA	759586	760215	chr	2	4
L0644	BB_0722	ND	760226	761647	chr	2	4
L0645	BB_0725	ND	763579	764361	chr	0	0
L0646	BB_0726	ND	764371	765342	chr	0	0
L0647	BB_0727	ND	765373	766716	chr	0	0
L0648	BB_0728	cdr	766733	768064	chr	0	0
L0649	BB_0729	ND	768079	769470	chr	0	0
L0650	BB_0730	pgi	769547	771139	chr	1	1
L0651	BB_0731	ND	771162	771563	chr	1	1
L0652	BB_0732	ND	771570	774368	chr	4	19
L0653	BB_0733	ND	774677	775462	chr	4	19
L0654	BB_0734	ND	775666	776679	chr	5	20
L0655	BB_0735	ND	776785	777573	chr	3	18
L0656	BB_0737	ND	777765	778754	chr	3	18
L0657	BB_0738	valS	778758	781385	chr	3	18
L0658	BB_0740	ND	782152	782829	chr	3	18
L0659	BB_0741	groS	782976	783248	chr	3	18
L0660	BB_0742	ND	783390	785021	chr	5	21
L0661	BB_0743	ND	785057	786754	chr	2	17
L0662	BB_0744	p83/100	786860	788962	chr	2	17
L0663	BB_0745	ND	789303	789938	chr	3	21
L0664	BB_0746	ND	789947	790807	chr	3	21
L0665	BB_0747	ND	790807	791787	chr	3	21
L0666	BB_0748	ND	791794	792252	chr	3	21
L0667	BB_0749	ND	792351	793625	chr	3	21
L0668	BB_0751	ND	793842	794855	chr	3	21
L0669	BB_0754	ND	797119	798048	chr	2	3
L0670	BB_0755	rnz	798057	799016	chr	2	3
L0671	BB_0756	ND	799208	800275	chr	2	3
L0672	BB_0757	clpP	800476	801072	chr	0	0
L0673	BB_0758	ND	801119	801778	chr	0	0
L0674	BB_0759	ND	801941	802798	chr	0	0
L0675	BB_0760	ND	802838	803167	chr	0	0
L0676	BB_0764	ND	805775	806923	chr	0	0
L0677	BB_0765	ND	806920	807966	chr	0	0
L0678	BB_0766	cvpA	807976	808464	chr	0	0
L0679	BB_0767	murG	808461	809552	chr	0	0
L0680	BB_0768	ND	809701	810495	chr	0	0
L0681	BB_0769	ND	810470	811510	chr	1	1
L0682	BB_0770	ND	811507	812388	chr	1	1
L0683	BB_0771	rpoS	812439	813239	chr	1	1
L0684	BB_0771a	ND	813386	813706	chr	0	0
L0685	BB_0772	ND	813690	814697	chr	0	0
L0686	BB_0773	ND	814868	815302	chr	0	0
L0687	BB_0774	flgG	815502	816299	chr	0	0
L0688	BB_0775	ND	816312	817160	chr	0	0
L0689	BB_0776	ND	817396	817956	chr	0	0
L0690	BB_0777	apt	818018	818548	chr	0	0
L0691	BB_0778	rplU	818605	818916	chr	0	0
L0692	BB_0779	ND	819036	819242	chr	0	0
L0693	BB_0780	rpmA	819242	819487	chr	0	0
L0694	BB_0781	ND	819542	820528	chr	1	4
L0695	BB_0782	nadD	820607	821188	chr	1	4
L0696	BB_0783	ND	821185	822369	chr	2	4
L0697	BB_0784	ND	822344	822694	chr	2	4
L0698	BB_0785	ND	822810	823103	chr	2	4
L0699	BB_0786	ND	823263	823811	chr	3	5
L0700	BB_0787	pth	823816	824382	chr	3	5
L0701	BB_0788	tilS	824382	825704	chr	3	6
L0702	BB_0789	ND	825701	827620	chr	2	6
L0703	BB_0790	ND	827631	829112	chr	1	2
L0704	BB_0791	ND	829218	830321	chr	1	2
L0705	BB_0792	ND	830318	830941	chr	0	0
L0706	BB_0793	tmk	830955	831563	chr	0	0
L0707	BB_0795	ND	836061	838526	chr	0	0
L0708	BB_0796	ND	838547	839080	chr	0	0
L0709	BB_0797	mutS	839244	841832	chr	0	0
L0710	BB_0798	ND	841834	842451	chr	0	0
L0711	BB_0799	ND	842501	842989	chr	0	0
L0712	BB_0800	ND	843003	844451	chr	0	0
L0713	BB_0801	ND	844454	847102	chr	0	0
L0714	BB_0802	rbfA	847126	847488	chr	0	0
L0715	BB_0803	truB	847491	848339	chr	0	0
L0716	BB_0804	rpsO	848538	848804	chr	0	0
L0717	BB_0805	ND	848837	850987	chr	0	0
L0718	BB_0806	ND	850994	852514	chr	0	0
L0719	BB_0807	ND	852489	853778	chr	2	5
L0720	BB_0808	ND	853775	854842	chr	3	6
L0721	BB_0809	tgt	854869	855996	chr	3	6
L0722	BB_0810	mviN	855989	857509	chr	2	5
L0723	BB_0811	ND	857506	858915	chr	1	4
L0724	BB_0812	coaBC	858939	860111	chr	3	27
L0725	BB_0814	panF	860440	861774	chr	3	27
L0726	BB_0816	ND	862699	863646	chr	2	11
L0727	BB_0817	murC	863636	865042	chr	2	11
L0728	BB_0818	ND	865053	865919	chr	2	11
L0729	BB_0819	ND	865916	866458	chr	0	0
L0730	BB_0820	rpoZ	866494	866694	chr	0	0
L0731	BB_0821	miaA	866681	867601	chr	0	0
L0732	BB_0823	ND	867743	868114	chr	0	0
L0733	BB_0824	ND	868195	868740	chr	0	0
L0734	BB_0825	ND	868733	869380	chr	0	0
L0735	BB_0826	ND	869508	870023	chr	0	0
L0736	BB_0827	ND	870112	872583	chr	0	0
L0737	BB_0828	topA	872586	875132	chr	0	0
L0738	BB_0829	ND	875207	876448	chr	0	0
L0739	BB_0830	ND	876492	879281	chr	3	6
L0740	BB_0831	ND	879315	880250	chr	4	7
L0741	BB_0832	ND	880267	881091	chr	3	6
L0742	BB_0833	ileS	881085	884213	chr	2	5
L0743	BB_0834	ND	884228	886447	chr	1	2
L0744	BB_0835	ND	886470	888179	chr	2	8
L0745	BB_0837	uvrA	890322	893174	chr	5	42
L0746	BB_0838	ND	893129	896569	chr	5	44
L0747	BB_0838a	ND	896579	897127	chr	4	40
L0748	BB_0839	ND	897096	897695	chr	3	15
L0749	BB_0840	ND	897704	899320	chr	3	15
L0750	BB_0841	arcA	899499	900731	chr	2	9
L0751	BB_0842	argF	900799	901782	chr	2	9
L0752	BB_0843	ND	901834	903258	chr	3	19
L0753	BB_0844	ND	903929	904900	chr	2	15
L0754	BB_0852	ND	908407	909591	chr	1	5
L0755	BB_T01	ND	910988	911362	lp5	0	0
L0756	BB_T02	ND	911468	911821	lp5	0	0
L0757	BB_T03	ND	911932	912300	lp5	0	0
L0758	BB_T0008	ND	912872	913978	lp5	0	0
L0759	BB_T06	ND	914064	915056	lp5	0	0
L0760	BB_T07	ND	915112	915543	lp5	0	0
L0761	BB_C01	ND	916115	917224	cp9	11	26
L0762	BB_C02	ND	917234	917791	cp9	11	26
L0763	BB_C03	ND	917844	918404	cp9	12	27
L0764	BB_C05	ND	918756	919664	cp9	14	28
L0765	BB_C06	eppA	919805	920329	cp9	14	28
L0766	BB_C07	ND	920456	920740	cp9	13	28
L0767	BB_C10	revB	922233	922760	cp9	13	28
L0768	BB_C11	ND	922926	923723	cp9	13	28
L0769	BB_D001	ND	925550	925744	lp17	0	0
L0770	BB_D01	ND	925668	926141	lp17	0	0
L0771	BB_D04	ND	926748	927104	lp17	0	0
L0772	BB_D0027	ND	928990	929157	lp17	1	3
L0773	BB_D09	ND	930394	931077	lp17	4	57
L0774	BB_D10	ND	931212	931790	lp17	4	57
L0775	BB_D13	ND	933123	933449	lp17	4	57
L0776	BB_D14	ND	933605	934717	lp17	4	57
L0777	BB_D15	ND	934929	935318	lp17	3	57
L0778	BB_D18	ND	936322	936984	lp17	3	55
L0779	BB_D21	ND	938677	939417	lp17	2	55
L0780	BB_D22	ND	939408	939677	lp17	2	55
L0781	BB_D0031	ND	941056	941217	lp17	2	55
L0782	BB_D24	ND	941227	941457	lp17	2	55
L0783	BB_U01	ND	942412	942777	lp21	0	0
L0784	BB_U02	ND	942905	943273	lp21	0	0
L0785	BB_U04	ND	943645	944787	lp21	2	4
L0786	BB_U05	ND	945027	945815	lp21	1	1
L0787	BB_U06	ND	956807	957394	lp21	0	0
L0788	BB_U07	ND	957508	957972	lp21	0	0
L0789	BB_U08	ND	957950	958243	lp21	0	0
L0790	BB_U09	ND	958387	958707	lp21	0	0
L0791	BB_U10	ND	958762	958959	lp21	0	0
L0792	BB_U11	ND	959045	960037	lp21	0	0
L0793	BB_E09	ND	967834	968697	lp21	7	82
L0794	BB_E16	bptA	970503	971123	lp25	9	82
L0795	BB_E17	ND	971136	971630	lp25	9	82
L0796	BB_E18	ND	972434	973015	lp25	8	82
L0797	BB_E19	ND	973032	973790	lp25	8	82
L0798	BB_E20	ND	973766	974329	lp25	9	82
L0799	BB_E21	ND	974339	975466	lp25	8	82
L0800	BB_E22	pncA	975978	976481	lp25	7	82
L0801	BB_E31	ND	982882	983613	lp25	4	45
L0802	BB_B01	ND	985159	985437	cp26	5	55
L0803	BB_B02	ND	985421	985864	cp26	5	55
L0804	BB_B03	resT	985950	987299	cp26	5	80
L0805	BB_B04	chbC	987589	988911	cp26	5	80
L0806	BB_B05	chbA	989197	989544	cp26	4	80
L0807	BB_B06	chbB	989595	989870	cp26	4	80
L0808	BB_B07	ND	989882	990979	cp26	5	80
L0809	BB_B09	ND	991790	992827	cp26	5	80
L0810	BB_B10	ND	992949	993878	cp26	4	70
L0811	BB_B12	ND	994388	995149	cp26	4	70
L0812	BB_B13	ND	995217	995765	cp26	5	70
L0813	BB_B14	ND	996033	996530	cp26	4	70
L0814	BB_B16	oppAIV	997127	998719	cp26	7	55
L0815	BB_B17	guaB	999006	1000220	cp26	5	30
L0816	BB_B18	guaA	1000245	1001780	cp26	10	30
L0817	BB_B19	ospC	1002016	1002648	cp26	11	33
L0818	BB_B22	ND	1003079	1004434	cp26	8	33
L0819	BB_B23	ND	1004544	1005899	cp26	7	33
L0820	BB_B24	ND	1005971	1006477	cp26	6	33
L0821	BB_B25	ND	1006452	1006946	cp26	6	33
L0822	BB_B26	ND	1007011	1007706	cp26	6	33
L0823	BB_B27	ND	1007716	1008267	cp26	5	25
L0824	BB_B28	ND	1008368	1009612	cp26	5	25
L0825	BB_B29	ND	1009938	1011566	cp26	4	22
L0826	BB_F01	ND	1012078	1013076	lp28.1	6	23
L0827	BB_F02	ND	1013331	1013687	lp28.1	5	20
L0828	BB_F03	ND	1013709	1014230	lp28.1	3	7
L0829	BB_F06	ND	1014812	1014991	lp28.1	3	7
L0830	BB_F08	ND	1015293	1015460	lp28.1	3	7
L0831	BB_F0034	ND	1015889	1016104	lp28.1	3	7
L0832	BB_F14	ND	1018965	1019480	lp28.1	1	45
L0833	BB_F17	ND	1020383	1020640	lp28.1	1	45
L0834	BB_F20	ND	1022309	1022506	lp28.1	1	45
L0835	BB_F23	ND	1024052	1024603	lp28.1	3	45
L0836	BB_F24	ND	1024640	1025404	lp28.1	3	45
L0837	BB_F25	ND	1025380	1025940	lp28.1	3	45
L0838	BB_F26	ND	1025962	1027062	lp28.1	2	45
L0839	BB_F0039	ND	1028669	1028827	lp28.1	0	0
L0840	BB_F0040	ND	1029162	1029416	lp28.1	0	0
L0841	BB_F0041	ND	1038608	1039684	lp28.1	0	0
L0842	BB_G01	ND	1039882	1040775	lp28.2	1	2
L0843	BB_G02	ND	1040813	1041694	lp28.2	1	2
L0844	BB_G07	ND	1045144	1045716	lp28.2	4	28
L0845	BB_G08	ND	1045677	1046444	lp28.2	4	28
L0846	BB_G09	ND	1046503	1047054	lp28.2	4	28
L0847	BB_G12	ND	1050829	1051257	lp28.2	10	35
L0848	BB_G13	ND	1051267	1052085	lp28.2	10	35
L0849	BB_G14	ND	1052075	1052518	lp28.2	10	35
L0850	BB_G15	ND	1052515	1052907	lp28.2	13	40
L0851	BB_G16	ND	1052923	1053261	lp28.2	13	40
L0852	BB_G17	ND	1053274	1054107	lp28.2	14	40
L0853	BB_G18	ND	1054142	1054651	lp28.2	14	40
L0854	BB_G19	ND	1054652	1055197	lp28.2	15	40
L0855	BB_G20	ND	1055223	1056248	lp28.2	15	40
L0856	BB_G21	ND	1056260	1057450	lp28.2	15	40
L0857	BB_G0036	ND	1057447	1057785	lp28.2	15	40
L0858	BB_G22	ND	1057796	1058593	lp28.2	16	41
L0859	BB_G23	ND	1058603	1059385	lp28.2	15	41
L0860	BB_G24	ND	1059386	1062025	lp28.2	14	69
L0861	BB_G25	ND	1062039	1062425	lp28.2	9	65
L0862	BB_G26	ND	1062425	1062799	lp28.2	9	65
L0863	BB_G27	ND	1062799	1063491	lp28.2	8	63
L0864	BB_G28	ND	1063488	1063874	lp28.2	8	63
L0865	BB_G29	ND	1064255	1065721	lp28.2	10	63
L0866	BB_G30	ND	1065746	1066156	lp28.2	10	63
L0867	BB_G31	ND	1066336	1066851	lp28.2	7	63
L0868	BB_G32	ND	1066879	1067706	lp28.2	6	63
L0869	BB_G33	ND	1067797	1068597	lp28.2	5	63
L0870	BB_G34	ND	1068620	1069384	lp28.2	5	63
L0871	BB_H02	ND	1069923	1070390	lp28.3	5	63
L0872	BB_H04	ND	1070577	1070900	lp28.3	5	63
L0873	BB_H05	ND	1071030	1071212	lp28.3	5	63
L0874	BB_H06	cspZ	1071792	1072502	lp28.3	7	70
L0875	BB_H09	ND	1073424	1077260	lp28.3	9	44
L0876	BB_H09a	ND	1077550	1077963	lp28.3	8	44
L0877	BB_H0042	ND	1078613	1078768	lp28.3	8	44
L0878	BB_H13	ND	1079380	1080048	lp28.3	8	44
L0879	BB_H17	ND	1081369	1081560	lp28.3	9	46
L0880	BB_H39	ND	1085097	1085342	lp28.3	10	47
L0881	BB_H26	ND	1086051	1086947	lp28.3	9	42
L0882	BB_H27	ND	1086940	1087506	lp28.3	9	42
L0883	BB_H28	ND	1087479	1088234	lp28.3	9	42
L0884	BB_H29	ND	1088330	1088959	lp28.3	9	42
L0885	BB_H32	ND	1091002	1091751	lp28.3	9	42
L0886	BB_H33	ND	1092210	1092485	lp28.3	10	47
L0887	BB_H37	ND	1094965	1095903	lp28.3	8	47
L0888	BB_H40	ND	1096510	1096977	lp28.3	3	22
L0889	BB_H41	ND	1097157	1097729	lp28.3	2	6
L0890	BB_I01	ND	1098307	1098741	lp28.4	2	6
L0891	BB_I0044	ND	1098869	1099237	lp28.4	2	6
L0892	BB_I06	mtnN	1100669	1101484	lp28.4	2	6
L0893	BB_I12	ND	1103261	1103479	lp28.4	5	34
L0894	BB_I15	ND	1104736	1104966	lp28.4	2	26
L0895	BB_I16	vraA	1105316	1106671	lp28.4	2	26
L0896	BB_I18	ND	1108628	1108780	lp28.4	1	25
L0897	BB_I19	ND	1108948	1110060	lp28.4	1	25
L0898	BB_I20	ND	1110057	1110611	lp28.4	1	25
L0899	BB_I21	ND	1110587	1111339	lp28.4	1	25
L0900	BB_I22	ND	1111398	1111970	lp28.4	1	25
L0901	BB_I26	ND	1113485	1114663	lp28.4	1	25
L0902	BB_I29	ND	1116651	1117316	lp28.4	1	25
L0903	BB_I34	ND	1118904	1119695	lp28.4	1	25
L0904	BB_I36	ND	1120228	1121064	lp28.4	0	0
L0905	BB_I38	ND	1121292	1122128	lp28.4	0	0
L0906	BB_I39	ND	1122356	1123222	lp28.4	0	0
L0907	BB_I41	ND	1123927	1124169	lp28.4	0	0
L0908	BB_I42	ND	1124493	1125047	lp28.4	0	0
L0909	BB_P01	ND	1125522	1126745	cp32.1	0	0
L0910	BB_P02	ND	1126762	1127454	cp32.1	0	0
L0911	BB_P03	ND	1127467	1128024	cp32.1	0	0
L0912	BB_P04	ND	1128031	1128795	cp32.1	0	0
L0913	BB_P06	ND	1129419	1130378	cp32.1	0	0
L0914	BB_P07	ND	1130398	1130853	cp32.1	0	0
L0915	BB_P08	ND	1130853	1131236	cp32.1	0	0
L0916	BB_P09	ND	1131224	1131613	cp32.1	0	0
L0917	BB_P10	ND	1131610	1132176	cp32.1	0	0
L0918	BB_P11	ND	1132157	1133269	cp32.1	0	0
L0919	BB_P12	ND	1133284	1133712	cp32.1	0	0
L0920	BB_P13	ND	1133728	1134183	cp32.1	0	0
L0921	BB_P14	ND	1134180	1134416	cp32.1	0	0
L0922	BB_P15	ND	1134424	1135698	cp32.1	0	0
L0923	BB_P16	ND	1135721	1136404	cp32.1	0	0
L0924	BB_P17	ND	1136408	1137358	cp32.1	0	0
L0925	BB_P18	ND	1137376	1137921	cp32.1	0	0
L0926	BB_P19	ND	1137951	1138283	cp32.1	0	0
L0927	BB_P20	ND	1138280	1139155	cp32.1	0	0
L0928	BB_P21	ND	1139165	1139770	cp32.1	0	0
L0929	BB_P22	ND	1139780	1140595	cp32.1	0	0
L0930	BB_P23	blyA1	1140671	1140874	cp32.1	0	0
L0931	BB_P24	blyB1	1140878	1141225	cp32.1	0	0
L0932	BB_P25	ND	1141215	1141550	cp32.1	0	0
L0933	BB_P26	ND	1141543	1141896	cp32.1	0	0
L0934	BB_P27	revA1	1142034	1142516	cp32.1	0	0
L0935	BB_P28	mlpA	1142688	1143134	cp32.1	0	0
L0936	BB_P29	ND	1143171	1144184	cp32.1	0	0
L0937	BB_P30	ND	1144570	1145670	cp32.1	0	0
L0938	BB_P31	ND	1145680	1146246	cp32.1	0	0
L0939	BB_P32	ND	1146222	1146962	cp32.1	0	0
L0940	BB_P33	ND	1147017	1147574	cp32.1	0	0
L0941	BB_P34	ND	1147587	1148219	cp32.1	0	0
L0942	BB_P35	bppA1	1148687	1150012	cp32.1	0	0
L0943	BB_P36	bppB1	1150065	1150490	cp32.1	0	0
L0944	BB_P37	bppC1	1150496	1151272	cp32.1	0	0
L0945	BB_P38	erpA	1151691	1152224	cp32.1	0	0
L0946	BB_P39	erpB1	1152252	1153388	cp32.1	0	0
L0947	BB_P40	ND	1153572	1154111	cp32.1	0	0
L0948	BB_P41	ND	1154291	1154857	cp32.1	0	0
L0949	BB_P42	ND	1154854	1156206	cp32.1	0	0
L0950	BB_S01	ND	1156272	1157495	cp32.3	0	0
L0951	BB_S02	ND	1157512	1158204	cp32.3	0	0
L0952	BB_S03	ND	1158217	1158774	cp32.3	0	0
L0953	BB_S04	ND	1158781	1159545	cp32.3	0	0
L0954	BB_S06	ND	1160169	1161128	cp32.3	0	0
L0955	BB_S07	ND	1161148	1161603	cp32.3	0	0
L0956	BB_S08	ND	1161603	1161986	cp32.3	0	0
L0957	BB_S09	ND	1161974	1162363	cp32.3	0	0
L0958	BB_S10	ND	1162360	1162926	cp32.3	0	0
L0959	BB_S11	ND	1162907	1164019	cp32.3	0	0
L0960	BB_S12	ND	1164034	1164462	cp32.3	0	0
L0961	BB_S13	ND	1164478	1164933	cp32.3	0	0
L0962	BB_S14	ND	1164930	1165166	cp32.3	0	0
L0963	BB_S15	ND	1165174	1166448	cp32.3	0	0
L0964	BB_S16	ND	1166471	1167154	cp32.3	0	0
L0965	BB_S17	ND	1167158	1168108	cp32.3	0	0
L0966	BB_S18	ND	1168126	1168671	cp32.3	0	0
L0967	BB_S19	ND	1168701	1169033	cp32.3	0	0
L0968	BB_S20	ND	1169030	1169905	cp32.3	0	0
L0969	BB_S21	ND	1169915	1170520	cp32.3	0	0
L0970	BB_S23	ND	1171418	1171621	cp32.3	0	0
L0971	BB_S24	ND	1171625	1171972	cp32.3	0	0
L0972	BB_S25	ND	1171962	1172297	cp32.3	0	0
L0973	BB_S26	ND	1172290	1172643	cp32.3	0	0
L0974	BB_S27	ND	1172792	1173109	cp32.3	0	0
L0975	BB_S29	bdrF	1173295	1173903	cp32.3	0	0
L0976	BB_S30	ND	1174009	1174455	cp32.3	0	0
L0977	BB_S31	ND	1174493	1175434	cp32.3	0	0
L0978	BB_S33	ND	1175811	1176911	cp32.3	0	0
L0979	BB_S34	ND	1176921	1177487	cp32.3	0	0
L0980	BB_S35	ND	1177463	1178203	cp32.3	1	2
L0981	BB_S37	ND	1178799	1179389	cp32.3	0	0
L0982	BB_S38	ND	1179897	1181222	cp32.3	0	0
L0983	BB_S39	ND	1181275	1181700	cp32.3	0	0
L0984	BB_S40	ND	1181706	1182482	cp32.3	0	0
L0985	BB_S41	erpG	1182914	1183504	cp32.3	0	0
L0986	BB_S42	bapA	1183616	1184125	cp32.3	0	0
L0987	BB_S44	ND	1184442	1185080	cp32.3	0	0
L0988	BB_S45	ND	1185077	1186429	cp32.3	0	0
L0989	BB_R01	ND	1186495	1187718	cp32.4	0	0
L0990	BB_R03	ND	1188442	1189005	cp32.4	0	0
L0991	BB_R04	ND	1189009	1189776	cp32.4	0	0
L0992	BB_R05	ND	1189805	1190380	cp32.4	0	0
L0993	BB_R06	ND	1190402	1191361	cp32.4	0	0
L0994	BB_R07	ND	1191381	1191836	cp32.4	0	0
L0995	BB_R08	ND	1191836	1192219	cp32.4	0	0
L0996	BB_R09	ND	1192207	1192596	cp32.4	0	0
L0997	BB_R10	ND	1192593	1193159	cp32.4	0	0
L0998	BB_R11	ND	1193140	1194252	cp32.4	0	0
L0999	BB_R12	ND	1194267	1194695	cp32.4	0	0
L1000	BB_R13	ND	1194711	1195166	cp32.4	0	0
L1001	BB_R14	ND	1195163	1195399	cp32.4	0	0
L1002	BB_R15	ND	1195407	1196702	cp32.4	0	0
L1003	BB_R16	ND	1196725	1197321	cp32.4	0	0
L1004	BB_R17	ND	1197325	1198275	cp32.4	0	0
L1005	BB_R18	ND	1198293	1198847	cp32.4	0	0
L1006	BB_R19	ND	1198877	1199209	cp32.4	0	0
L1007	BB_R20	ND	1199206	1200081	cp32.4	0	0
L1008	BB_R21	ND	1200091	1200696	cp32.4	0	0
L1009	BB_R22	ND	1200706	1201521	cp32.4	0	0
L1010	BB_R23	ND	1201596	1201799	cp32.4	0	0
L1011	BB_R24	ND	1201803	1202150	cp32.4	0	0
L1012	BB_R25	ND	1202140	1202475	cp32.4	0	0
L1013	BB_R26	ND	1202468	1202821	cp32.4	0	0
L1014	BB_R27	ND	1202926	1203426	cp32.4	0	0
L1015	BB_R28	ND	1203532	1203954	cp32.4	0	0
L1016	BB_R29	ND	1204002	1205012	cp32.4	0	0
L1017	BB_R31	ND	1205389	1206486	cp32.4	0	0
L1018	BB_R32	ND	1206496	1207062	cp32.4	0	0
